id	possess
BS25-040	1
BS25-041	1
BS25-042	4
BS25-043	3
BS25-044	3
BS25-045	1
BS25-046	2
BS25-048	1
BS25-054	1
BS25-056	1
BS25-057	1
BS25-060	2
BS25-061	2
BS25-062	1
BS25-064	2
BS25-065	2
BS25-066	2
BS25-067	2
BS25-068	1
BS25-070	1
BS25-071	1
BS25-073	1
BS25-074	2
BS25-076	2
BS25-078	1
BS25-081	3
BS25-083	1
BS25-X07	1
BS26-001	2
BS26-002	2
BS26-003	1
BS26-004	2
BS26-005	1
BS26-006	1
BS26-007	1
BS26-009	1
BS26-012	1
BS26-013	4
BS26-014	2
BS26-018	2
BS26-020	8
BS26-022	1
BS26-024	1
BS26-025	2
BS26-027	1
BS26-028	1
BS26-029	1
BS26-030	2
BS26-031	1
BS26-032	2
BS26-033	1
BS26-034	1
BS26-035	2
BS26-036	2
BS26-038	1
BS26-042	1
BS26-044	2
BS26-045	1
BS26-046	6
BS26-047	3
BS26-048	4
BS26-049	2
BS26-050	5
BS26-051	2
BS26-052	1
BS26-055	1
BS26-056	2
BS26-057	2
BS26-058	2
BS26-061	4
BS26-063	4
BS26-064	1
BS26-066	1
BS26-068	3
BS26-069	1
BS26-070	4
BS26-072	2
BS26-073	1
BS26-074	1
BS26-075	2
BS26-077	1
BS26-079	3
BS26-080	1
BS26-X02	1
BS26-X03	1
BS26-X05	1
BS26-X06	4
BS26-X07	4
BS26-X08	3
BS27-001	2
BS27-002	9
BS27-004	1
BS27-005	5
BS27-007	2
BS27-008	1
BS27-009	1
BS27-010	2
BS27-011	2
BS27-012	1
BS27-013	1
BS27-017	1
BS27-018	1
BS27-019	2
BS27-021	9
BS27-022	3
BS27-023	2
BS27-024	4
BS27-025	1
BS27-026	3
BS27-028	1
BS27-029	2
BS27-033	3
BS27-034	7
BS27-035	1
BS27-036	1
BS27-037	1
BS27-038	1
BS27-040	2
BS27-044	1
BS27-046	1
BS27-054	1
BS27-057	2
BS27-059	1
BS27-061	4
BS27-062	1
BS27-063	4
BS27-065	3
BS27-066	3
BS27-067	1
BS27-068	3
BS27-069	1
BS27-070	2
BS27-072	2
BS27-073	4
BS27-074	3
BS27-075	3
BS27-077	3
BS27-078	2
BS27-079	3
BS27-080	1
BS27-082	2
BS27-X02	1
BS27-X03	1
BS27-X06	4
BS27-X07	4
BS27-X08	4
BS28-001	4
BS28-002	8
BS28-003	3
BS28-004	2
BS28-005	3
BS28-006	4
BS28-007	1
BS28-008	1
BS28-009	2
BS28-010	1
BS28-011	1
BS28-012	2
BS28-013	2
BS28-014	3
BS28-015	1
BS28-016	2
BS28-017	1
BS28-018	2
BS28-019	4
BS28-020	4
BS28-021	7
BS28-022	3
BS28-023	2
BS28-024	2
BS28-025	1
BS28-026	1
BS28-027	2
BS28-028	3
BS28-029	3
BS28-030	5
BS28-031	1
BS28-032	3
BS28-033	3
BS28-034	1
BS28-035	2
BS28-036	2
BS28-037	4
BS28-038	1
BS28-039	3
BS28-040	3
BS28-041	3
BS28-043	1
BS28-046	1
BS28-050	1
BS28-051	1
BS28-052	3
BS28-054	2
BS28-057	1
BS28-058	6
BS28-059	1
BS28-060	1
BS28-061	8
BS28-062	2
BS28-064	1
